Anchor_Name,Anchor_Color,FPT_Price,FPT_Stock,Anchor_Full,CPS_Match,CPS_Price,CPS_Stock,CPS_Score,HoangHa_Match,HoangHa_Price,HoangHa_Stock,HoangHa_Score,Viettel_Match,Viettel_Price,Viettel_Stock,Viettel_Score,DDV_Match,DDV_Price,DDV_Stock,DDV_Score,MW_Match,MW_Price,MW_Stock,MW_Score
"iPhone 13 chính hãng | Đủ màu, giá tốt nhất hôm nay",Xanh,12590000,No,"iPhone 13 chính hãng | Đủ màu, giá tốt nhất hôm nay Xanh",iPhone 16 Plus 128GB,23790000.0,Yes,0.698434054851532,iPhone 15 Plus (128GB),17690000.0,No,0.7515580058097839,iPhone 16 Plus 128GB,23490000.0,Yes,0.698434054851532,iPhone 15 128GB Chính hãng (VN/A),16590000.0,Yes,0.7084373235702515,iPhone 15 Plus 128GB,19590000.0,No,0.7385737895965576
iPhone 15 128GB,Xanh lá,16790000,Yes,iPhone 15 128GB Xanh lá,iPhone 15 128GB,16890000.0,No,0.9999998807907104,iPhone 14 (128GB),13490000.0,No,0.9603625535964966,iPhone 15 256GB,19990000.0,Yes,0.9544683694839478,iPhone 15 128GB Chính hãng (VN/A),16690000.0,Yes,0.9551569819450378,iPhone 14 128GB,13890000.0,Yes,0.9664677381515503
iPhone 17 256GB,Xanh Lam Khói,24990000,Yes,iPhone 17 256GB Xanh Lam Khói,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896,iPhone 17 256GB,24890000.0,Yes,1.0000001192092896,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896,iPhone 17 256GB Chính Hãng,24790000.0,No,0.9747830629348755,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896
iPhone 14 128GB,Vàng,13990000,No,iPhone 14 128GB Vàng,iPhone 14 128GB,13590000.0,No,1.0000003576278687,iPhone 15 (128GB),16390000.0,No,0.9582018852233887,iPhone 15 256GB,19990000.0,Yes,0.9588233828544617,iPhone 14 128GB Chính hãng (VN/A),13490000.0,Yes,0.9080230593681335,iPhone 15 128GB,16990000.0,No,0.9591200947761536
iPhone 16 Pro Max 512GB,Titan Đen,40190000,No,iPhone 16 Pro Max 512GB Titan Đen,iPhone 16 Pro Max 512GB,37990000.0,No,0.9999998211860657,iPhone 16 Pro Max (512GB),36690000.0,Yes,0.9682953357696533,iPhone 16 Pro Max 512GB,36490000.0,No,0.9999999403953552,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.8929737210273743,iPhone 16 Pro Max 512GB,37990000.0,No,0.9932627081871033
"iPhone 13 chính hãng | Đủ màu, giá tốt nhất hôm nay",Xanh lá,12590000,No,"iPhone 13 chính hãng | Đủ màu, giá tốt nhất hôm nay Xanh lá",iPhone 16 Plus 128GB,23790000.0,Yes,0.6994361281394958,iPhone 15 Plus (128GB),17690000.0,No,0.7528213858604431,iPhone 16 Plus 128GB,23490000.0,Yes,0.6994361877441406,iPhone 15 128GB Chính hãng (VN/A),16590000.0,Yes,0.7106646299362183,iPhone 15 Plus 128GB,19590000.0,No,0.7388749718666077
iPhone 16 Pro 128GB,Titan Tự nhiên,25490000,Yes,iPhone 16 Pro 128GB Titan Tự nhiên,iPhone 16 Pro 128GB,25590000.0,Yes,0.9787045121192932,iPhone 16 Pro (128GB),24990000.0,Yes,0.9671415090560913,iPhone 16 Pro 128GB,24990000.0,Yes,0.9787044525146484,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.8959954380989075,iPhone 16 Pro 128GB,25590000.0,Yes,0.9926483035087585
iPhone 17 256GB,Xanh Lá Xô Thơm,24990000,Yes,iPhone 17 256GB Xanh Lá Xô Thơm,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896,iPhone 17 256GB,24890000.0,No,1.0000001192092896,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896,iPhone 17 256GB Chính Hãng,24790000.0,No,0.9851899743080139,iPhone 17 256GB,24990000.0,Yes,1.0000001192092896
iPhone 16 Pro Max 512GB,Titan Sa Mạc,40190000,No,iPhone 16 Pro Max 512GB Titan Sa Mạc,iPhone 16 Pro Max 512GB,37990000.0,Yes,1.0000001192092896,iPhone 16 Pro Max (512GB),36690000.0,Yes,0.9616904854774475,iPhone 16 Pro Max 512GB,36490000.0,No,0.9803242087364197,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9513043761253357,iPhone 16 Pro Max 512GB,37990000.0,Yes,1.000000238418579
iPhone 16 Pro 128GB,Titan Đen,25590000,No,iPhone 16 Pro 128GB Titan Đen,iPhone 16 Pro 128GB,25790000.0,No,1.0000003576278687,iPhone 16 Pro (128GB),24990000.0,Yes,0.9832667708396912,iPhone 16 Pro 128GB,24990000.0,Yes,1.0000003576278687,iPhone 16 Pro Max 1TB Chính Hãng (VN/A),42590000.0,Yes,0.8873964548110962,iPhone 16 Pro 128GB,25590000.0,Yes,0.9932268261909485
iPhone 16 Plus 128GB,Hồng,23790000,Yes,iPhone 16 Plus 128GB Hồng,iPhone 16 Plus 128GB,23790000.0,Yes,0.9999996423721313,iPhone 16 Plus (128GB),22990000.0,No,0.9820859432220459,iPhone 16 Plus 128GB,23490000.0,Yes,0.9999997615814209,iPhone 16 Plus 128GB Chính hãng (VN/A),23690000.0,Yes,0.9637470841407776,iPhone 16 Plus 128GB,23990000.0,Yes,0.9999997615814209
iPhone 16 128GB,Trắng,19790000,Yes,iPhone 16 128GB Trắng,iPhone 16 128GB,19790000.0,Yes,1.0,iPhone 16 (128GB),19990000.0,Yes,0.9820132851600647,iPhone 16e 128GB,12490000.0,Yes,0.9911813139915466,iPhone 16 128GB Chính Hãng (VN/A),19690000.0,Yes,0.9537922739982605,iPhone 16 128GB,19990000.0,Yes,1.0
iPhone 17 256GB,Trắng,24990000,Yes,iPhone 17 256GB Trắng,iPhone 17 256GB,24990000.0,Yes,0.9999998807907104,iPhone 17 256GB,24890000.0,Yes,0.9999998807907104,iPhone 17 256GB,24990000.0,Yes,0.9999998807907104,iPhone 17 256GB Chính Hãng,24790000.0,No,0.9381539821624756,iPhone 17 256GB,24990000.0,Yes,0.9999998807907104
iPhone 15 128GB,Hồng,16790000,Yes,iPhone 15 128GB Hồng,iPhone 15 128GB,16890000.0,Yes,1.000000238418579,iPhone 15 (128GB),16790000.0,Yes,0.9592694044113159,iPhone 15 256GB,19990000.0,Yes,0.9781879782676697,iPhone 15 128GB Chính hãng (VN/A),16590000.0,Yes,0.9519252181053162,iPhone 16 128GB,19990000.0,Yes,0.9889526963233948
iPhone 14 256GB,Đỏ,20590000,No,iPhone 14 256GB Đỏ,iPhone 14 256GB,16290000.0,No,0.9999999403953552,iPhone 15 (256GB),17990000.0,No,0.9269230961799622,iPhone 15 256GB,19990000.0,Yes,0.9634330868721008,iPhone 15 256GB Chính hãng (VN/A),19990000.0,Yes,0.9130461812019348,iPhone 15 256GB,19990000.0,Yes,0.9511080980300903
iPhone 13 256GB,Đen,17990000,No,iPhone 13 256GB Đen,iPhone 14 256GB,16290000.0,Yes,0.9933643937110901,iPhone 17 256GB,24890000.0,Yes,0.9790514707565308,iPhone 15 256GB,19990000.0,Yes,0.9926095008850098,iPhone 17 256GB Chính Hãng,24990000.0,No,0.968093991279602,iPhone 14 256GB,16590000.0,Yes,0.9933643937110901
iPhone 16 Pro Max 512GB,Titan Trắng,40190000,No,iPhone 16 Pro Max 512GB Titan Trắng,iPhone 16 Pro Max 512GB,37990000.0,No,1.0,iPhone 16 Pro Max (512GB),36690000.0,Yes,0.9613455533981323,iPhone 16 Pro Max 512GB,36490000.0,No,0.983801007270813,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9383652806282043,iPhone 16 Pro Max 512GB,37990000.0,Yes,0.9749172329902649
iPhone 16 Pro 128GB,Titan Trắng,25590000,No,iPhone 16 Pro 128GB Titan Trắng,iPhone 16 Pro 128GB,25790000.0,No,0.9999992847442627,iPhone 16 Pro (128GB),24990000.0,Yes,0.987784206867218,iPhone 16 Pro 128GB,24990000.0,Yes,0.9999992847442627,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9239702224731445,iPhone 16 Pro 128GB,25590000.0,Yes,0.96840500831604
iPhone 16 Plus 128GB,Trắng,23790000,Yes,iPhone 16 Plus 128GB Trắng,iPhone 16 Plus 128GB,23790000.0,Yes,1.0000003576278687,iPhone 16 Plus (128GB),23390000.0,Yes,0.9850911498069763,iPhone 16 Plus 128GB,23490000.0,Yes,1.000000238418579,iPhone 16 Plus 128GB Chính hãng (VN/A),23590000.0,Yes,0.9622570872306824,iPhone 16 Plus 128GB,23990000.0,Yes,1.000000238418579
iPhone 16 128GB,Xanh Mòng Két,19790000,Yes,iPhone 16 128GB Xanh Mòng Két,iPhone 16 128GB,19790000.0,Yes,1.0000003576278687,iPhone 16 (128GB),19990000.0,Yes,0.9762709140777588,iPhone 16 Plus 128GB,23490000.0,Yes,0.9738666415214539,iPhone 14 128GB Chính hãng (VN/A),13490000.0,Yes,0.9389359354972839,iPhone 16 128GB,19990000.0,Yes,1.0000003576278687
iPhone 17 256GB,Tím Oải Hương,24990000,Yes,iPhone 17 256GB Tím Oải Hương,iPhone 17 256GB,24990000.0,Yes,1.0000003576278687,iPhone 17 256GB,24590000.0,Yes,1.000000238418579,iPhone 17 256GB,24990000.0,Yes,1.0000003576278687,iPhone 17 256GB Chính Hãng,24590000.0,No,0.9929270148277283,iPhone 17 256GB,24990000.0,Yes,1.0000003576278687
iPhone 15 128GB,Xanh dương,16790000,Yes,iPhone 15 128GB Xanh dương,iPhone 15 128GB,16890000.0,Yes,0.9999996423721313,iPhone 14 (128GB),13490000.0,No,0.9633219242095947,iPhone 16e 128GB,12490000.0,Yes,0.9669182896614075,iPhone 15 128GB Chính hãng (VN/A),16690000.0,Yes,0.9620335102081299,iPhone 15 128GB,16990000.0,Yes,0.9673888683319092
iPhone 13 256GB,Đỏ,17990000,No,iPhone 13 256GB Đỏ,iPhone 14 256GB,16290000.0,No,0.991055428981781,iPhone 15 (256GB),17990000.0,No,0.9397537708282471,iPhone 15 256GB,19990000.0,Yes,0.9693472385406494,iPhone 15 256GB Chính hãng (VN/A),19990000.0,Yes,0.9232500195503235,iPhone 15 256GB,19990000.0,Yes,0.951288640499115
iPhone 14 256GB,Vàng,20590000,No,iPhone 14 256GB Vàng,iPhone 14 256GB,16290000.0,No,0.9999992251396179,iPhone 15 (256GB),17990000.0,No,0.9535967707633972,iPhone 15 256GB,19990000.0,Yes,0.9906066656112671,iPhone 15 256GB Chính hãng (VN/A),19990000.0,Yes,0.9069050550460815,iPhone 15 256GB,19990000.0,No,0.965417206287384
iPhone 16 Pro Max 512GB,Titan Tự nhiên,40190000,No,iPhone 16 Pro Max 512GB Titan Tự nhiên,iPhone 16 Pro Max 512GB,37990000.0,No,0.9867236614227295,iPhone 16 Pro Max (256GB),30490000.0,Yes,0.9578084945678711,iPhone 16 Pro Max 512GB,36490000.0,No,0.9867236614227295,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9374032616615295,iPhone 16 Pro Max 512GB,37990000.0,No,0.99611896276474
iPhone 16 Pro 128GB,Titan Sa Mạc,25590000,No,iPhone 16 Pro 128GB Titan Sa Mạc,iPhone 16 Pro 128GB,25790000.0,Yes,0.9999997615814209,iPhone 16 Pro (128GB),24990000.0,Yes,0.9822061657905579,iPhone 16 Pro 128GB,24990000.0,Yes,0.9999998807907104,iPhone 16 Pro Max 256GB Chính Hãng (VN/A),30990000.0,Yes,0.9319717288017273,iPhone 16 Pro 128GB,25590000.0,Yes,0.9999997615814209
iPhone 16 Plus 128GB,Đen,23790000,Yes,iPhone 16 Plus 128GB Đen,iPhone 16 Plus 128GB,23790000.0,Yes,1.0,iPhone 16 Plus (128GB),23390000.0,No,0.9882012009620667,iPhone 16 Plus 128GB,23490000.0,Yes,1.0,iPhone 16 Plus 128GB Chính hãng (VN/A),23590000.0,Yes,0.9656065106391907,iPhone 16 Plus 128GB,23990000.0,Yes,1.0
iPhone 16 128GB,Xanh Lưu Ly,19790000,Yes,iPhone 16 128GB Xanh Lưu Ly,iPhone 16 128GB,19790000.0,Yes,1.0000005960464478,iPhone 16 (128GB),19990000.0,Yes,0.9752122759819031,iPhone 16 Plus 128GB,23490000.0,Yes,0.9725803732872009,iPhone 16 128GB Chính Hãng (VN/A),19690000.0,Yes,0.9431627988815308,iPhone 16 128GB,19990000.0,Yes,1.0000005960464478
